year,region_name,region_ons_code,vehicle_type,activity_miles,activity_km,total_km,share_activity
2015,South West,E12000009,two_wheeled_motor_vehicles,366300000.0,589501242.0,53413994600.0,0.011036456764085567
2015,East Midlands,E12000004,two_wheeled_motor_vehicles,212300000.0,341662882.0,44135666698.0,0.007741196804340613
2015,Scotland,S92000003,two_wheeled_motor_vehicles,176900000.0,284692246.0,45043334458.0,0.006320407878893982
2015,Wales,W92000004,two_wheeled_motor_vehicles,138300000.0,222571722.0,28739271852.0,0.007744515001847932
2015,North West,E12000002,two_wheeled_motor_vehicles,220700000.0,355181338.0,56390147062.0,0.006298641810766768
2015,London,E12000007,two_wheeled_motor_vehicles,416400000.0,670129176.0,31623852868.0,0.021190624014004948
2015,East of England,E12000006,two_wheeled_motor_vehicles,292200000.0,470249148.0,57849496574.0,0.008128837342576802
2015,Yorkshire and the Humber,E12000003,two_wheeled_motor_vehicles,206700000.0,332650578.0,43639346242.0,0.00762272138898006
2015,South East,E12000008,two_wheeled_motor_vehicles,454300000.0,731123162.0,85841390930.0,0.00851714020566372
2015,West Midlands,E12000005,two_wheeled_motor_vehicles,196900000.0,316879046.0,50268539570.0,0.006303724928366762
2015,North East,E12000001,two_wheeled_motor_vehicles,66200000.0,106538308.0,18668826802.0,0.0057067489633888776
2016,South West,E12000009,two_wheeled_motor_vehicles,374100000.0,602054094.0,55262965326.0,0.010894350139346339
2016,East Midlands,E12000004,two_wheeled_motor_vehicles,193700000.0,311729158.0,45367294600.0,0.006871230932954948
2016,Scotland,S92000003,two_wheeled_motor_vehicles,165500000.0,266345770.0,46552251642.0,0.0057214368930696285
2016,Wales,W92000004,two_wheeled_motor_vehicles,136700000.0,219996778.0,29877718968.0,0.007363238747764635
2016,North West,E12000002,two_wheeled_motor_vehicles,214800000.0,345686232.0,56734706756.0,0.00609302932483108
2016,London,E12000007,two_wheeled_motor_vehicles,473600000.0,762183424.0,32320375220.0,0.023582134143305282
2016,East of England,E12000006,two_wheeled_motor_vehicles,284200000.0,457374428.0,58893314498.0,0.007766151929104488
2016,Yorkshire and the Humber,E12000003,two_wheeled_motor_vehicles,196800000.0,316718112.0,45104167510.0,0.0070219256774838095
2016,South East,E12000008,two_wheeled_motor_vehicles,468600000.0,754136724.0,87361734428.0,0.008632346060179574
2016,West Midlands,E12000005,two_wheeled_motor_vehicles,196900000.0,316879046.0,51332796112.0,0.006173033031526673
2016,North East,E12000001,two_wheeled_motor_vehicles,64100000.0,103158694.0,18937586582.0,0.005447298870599033
2017,South West,E12000009,two_wheeled_motor_vehicles,339300000.0,546049062.0,56815334690.0,0.009610945090430128
2017,East Midlands,E12000004,two_wheeled_motor_vehicles,189900000.0,305613666.0,46132696704.0,0.006624665103817816
2017,Scotland,S92000003,two_wheeled_motor_vehicles,173900000.0,279864226.0,47751370876.0,0.0058608626488807405
2017,Wales,W92000004,two_wheeled_motor_vehicles,141800000.0,228204412.0,30005178696.0,0.007605500847439445
2017,North West,E12000002,two_wheeled_motor_vehicles,221800000.0,356951612.0,56965164244.0,0.006266138555680489
2017,London,E12000007,two_wheeled_motor_vehicles,468800000.0,754458592.0,32275957436.0,0.02337525055595999
2017,East of England,E12000006,two_wheeled_motor_vehicles,312800000.0,503401552.0,60967592824.0,0.008256871047102175
2017,Yorkshire and the Humber,E12000003,two_wheeled_motor_vehicles,196400000.0,316074376.0,45188496926.0,0.0069945759983475134
2017,South East,E12000008,two_wheeled_motor_vehicles,448300000.0,721467122.0,87894104100.0,0.008208367664561018
2017,West Midlands,E12000005,two_wheeled_motor_vehicles,177800000.0,286140652.0,51819460528.0,0.0055218763199085695
2017,North East,E12000001,two_wheeled_motor_vehicles,73800000.0,118769292.0,19296469402.0,0.00615497527167794
2018,South West,E12000009,two_wheeled_motor_vehicles,320200000.0,515310668.0,56770273170.0,0.00907712151493246
2018,East Midlands,E12000004,two_wheeled_motor_vehicles,210400000.0,338605136.0,46538089450.0,0.007275871012362756
2018,Scotland,S92000003,two_wheeled_motor_vehicles,175500000.0,282439170.0,47875772858.0,0.005899417453535785
2018,Wales,W92000004,two_wheeled_motor_vehicles,163700000.0,263448958.0,30462714058.0,0.008648243144008833
2018,North West,E12000002,two_wheeled_motor_vehicles,209300000.0,336834862.0,57673112910.0,0.0058404141029397404
2018,London,E12000007,two_wheeled_motor_vehicles,463400000.0,745768156.0,32175373686.0,0.023178228271036216
2018,East of England,E12000006,two_wheeled_motor_vehicles,292600000.0,470892884.0,60907564442.0,0.007731270956473949
2018,Yorkshire and the Humber,E12000003,two_wheeled_motor_vehicles,186700000.0,300463778.0,45988017038.0,0.006533523238275878
2018,South East,E12000008,two_wheeled_motor_vehicles,440000000.0,708109600.0,87690039788.0,0.008075142874971094
2018,West Midlands,E12000005,two_wheeled_motor_vehicles,182400000.0,293543616.0,52095945140.0,0.005634673009792716
2018,North East,E12000001,two_wheeled_motor_vehicles,73800000.0,118769292.0,19686251550.0,0.006033108522378909
2019,South West,E12000009,two_wheeled_motor_vehicles,321500000.0,517402810.0,57990313824.0,0.00892222814262244
2019,East Midlands,E12000004,two_wheeled_motor_vehicles,193300000.0,311085422.0,47457505392.0,0.006555031062640731
2019,Scotland,S92000003,two_wheeled_motor_vehicles,181100000.0,291451474.0,48347148544.0,0.006028307413719642
2019,Wales,W92000004,two_wheeled_motor_vehicles,133400000.0,214685956.0,30708138408.0,0.006991174559252039
2019,North West,E12000002,two_wheeled_motor_vehicles,196500000.0,316235310.0,58871588408.0,0.0053716116475129305
2019,London,E12000007,two_wheeled_motor_vehicles,493200000.0,793726488.0,32612148562.0,0.02433836846079065
2019,East of England,E12000006,two_wheeled_motor_vehicles,285400000.0,459305636.0,61098110298.0,0.0075175096866299486
2019,Yorkshire and the Humber,E12000003,two_wheeled_motor_vehicles,182500000.0,293704550.0,46599405304.0,0.0063027531807318795
2019,South East,E12000008,two_wheeled_motor_vehicles,447000000.0,719374980.0,88333132052.0,0.008143886255233403
2019,West Midlands,E12000005,two_wheeled_motor_vehicles,168400000.0,271012856.0,52461265320.0,0.005165961101908092
2019,North East,E12000001,two_wheeled_motor_vehicles,67300000.0,108308582.0,20437813330.0,0.005299421237056577
