region_name,year,co2e_tonnes_total
East Midlands,2015,9237718.75129052
East Midlands,2016,9515900.011192523
East Midlands,2017,9671758.836802024
East Midlands,2018,9750601.896706097
East Midlands,2019,9921433.111694409
East Midlands,2020,8135267.1353309285
East Midlands,2021,9108329.05859368
East Midlands,2022,9789763.326013725
East Midlands,2023,9911625.93993289
East Midlands,2024,10013957.407825785
East of England,2015,11752934.821488814
East of England,2016,11972419.847461317
East of England,2017,12368743.21736146
East of England,2018,12394691.819510661
East of England,2019,12418317.34960426
East of England,2020,10269662.278814489
East of England,2021,11264298.467255965
East of England,2022,12205120.860569054
East of England,2023,12404340.875465408
East of England,2024,12487233.548805013
London,2015,6129532.475931022
London,2016,6230575.801181764
London,2017,6193620.322639616
London,2018,6168516.283300679
London,2019,6219432.294098527
London,2020,5185271.960232418
London,2021,5709703.797256296
London,2022,5886962.064861963
London,2023,5888588.357398063
London,2024,5900241.812300356
North East,2015,3646307.8028131686
North East,2016,3696010.502324216
North East,2017,3780523.7273069546
North East,2018,3848691.7712981524
North East,2019,3966914.266823452
North East,2020,3206675.2927747234
North East,2021,3553475.277448531
North East,2022,3844534.790656506
North East,2023,3937862.427611344
North East,2024,4035329.6954916455
North West,2015,11389533.497012217
North West,2016,11452735.616646241
North West,2017,11465134.568782205
North West,2018,11575182.596202299
North West,2019,11778798.29798848
North West,2020,9671155.076870488
North West,2021,10698825.32097553
North West,2022,11397489.852763405
North West,2023,11565621.470825836
North West,2024,11792812.260646505
Scotland,2015,9236651.189139012
Scotland,2016,9513279.950439472
Scotland,2017,9761499.063611716
Scotland,2018,9757555.527005935
Scotland,2019,9843257.243342482
Scotland,2020,7755229.138670783
Scotland,2021,8889821.478773545
Scotland,2022,9593559.499834638
Scotland,2023,9731314.36292556
Scotland,2024,9895865.909320086
South East,2015,16886038.09445095
South East,2016,17159601.08871284
South East,2017,17263340.909578126
South East,2018,17239185.34335553
South East,2019,17334210.91443965
South East,2020,13759270.212092668
South East,2021,15147037.681634543
South East,2022,16464530.785516795
South East,2023,16738479.888520122
South East,2024,16892985.44137194
South West,2015,10455971.629856322
South West,2016,10779761.238797016
South West,2017,11067543.373817937
South West,2018,11059995.78745953
South West,2019,11287117.714627437
South West,2020,8909371.64577787
South West,2021,10069052.94007108
South West,2022,10665362.3160906
South West,2023,10865706.504250418
South West,2024,10942610.815403325
Wales,2015,5586931.142089808
Wales,2016,5781263.031355843
Wales,2017,5815019.055777717
Wales,2018,5891743.576092676
Wales,2019,5932100.242705058
Wales,2020,4625035.081428257
Wales,2021,5218132.860366856
Wales,2022,5675693.621398217
Wales,2023,5744700.071694657
Wales,2024,5820192.365860618
West Midlands,2015,10354421.387990989
West Midlands,2016,10574520.73313938
West Midlands,2017,10684305.565575445
West Midlands,2018,10729880.794246057
West Midlands,2019,10760659.022139393
West Midlands,2020,8642063.9085468
West Midlands,2021,9681189.602633547
West Midlands,2022,10475648.569614206
West Midlands,2023,10635760.340344353
West Midlands,2024,10798680.772771014
Yorkshire and the Humber,2015,9092944.775891978
Yorkshire and the Humber,2016,9349147.363979772
Yorkshire and the Humber,2017,9379188.549596304
Yorkshire and the Humber,2018,9519865.918265525
Yorkshire and the Humber,2019,9675429.742071256
Yorkshire and the Humber,2020,7984068.102104537
Yorkshire and the Humber,2021,8747931.226009283
Yorkshire and the Humber,2022,9242721.695081972
Yorkshire and the Humber,2023,9366783.447656712
Yorkshire and the Humber,2024,9432647.281145116
