region_name,year,co2e_tonnes_total,region_ons_code,region_id,region_name_traffic,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,LGVs,all_HGVs,all_motor_vehicles,total_veh_activity,share_cars_and_taxis,share_LGVs,share_all_HGVs,share_buses_and_coaches,share_two_wheeled_motor_vehicles,ln_vehicle_activity
East Midlands,2015,9237718.75129052,E12000004,2,East Midlands,31483.29,19562.81,268800000.0,212300000.0,21040200000.0,184100000.0,4087100000.0,1901000000.0,27424600000.0,27424700000.0,0.7671989119297568,0.1490298891145573,0.06931707548304995,0.006712926668295369,0.007741196804340613,24.034709904123535
East Midlands,2016,9515900.011192525,E12000004,2,East Midlands,31618.53,19646.84,271500000.0,193700000.0,21640400000.0,218900000.0,4181600000.0,1955400000.0,28190000000.0,28190000000.0,0.7676622915927634,0.14833628946434907,0.06936502305782193,0.007765164952110677,0.006871230932954948,24.062233142072433
East Midlands,2017,9671758.836802024,E12000004,2,East Midlands,31689.25,19690.79,279800000.0,189900000.0,22002700000.0,230900000.0,4267500000.0,1974600000.0,28665500000.0,28665600000.0,0.7675646070551463,0.14887181848626926,0.06888395847287342,0.00805495088189328,0.006624665103817816,24.0789636345372
East Midlands,2018,9750601.896706097,E12000004,2,East Midlands,31706.84,19701.72,270000000.0,210400000.0,22171100000.0,225500000.0,4318800000.0,1991700000.0,28917600000.0,28917500000.0,0.7667018241549235,0.14934901011498228,0.06887524855191493,0.0077980461658165474,0.007275871012362756,24.08771278513383
East Midlands,2019,9921433.111694409,E12000004,2,East Midlands,31780.01,19747.18,287200000.0,193300000.0,22657400000.0,223600000.0,4409200000.0,2005300000.0,29488800000.0,29488800000.0,0.7683391660562654,0.14952117414069072,0.06800208892867801,0.00758253981172513,0.006555031062640731,24.107276367185744
East Midlands,2020,8135267.135330928,E12000004,2,East Midlands,31876.11,19806.9,411200000.0,153100000.0,17126900000.0,187500000.0,4018900000.0,1879300000.0,23365700000.0,23365700000.0,0.7329932336715784,0.1719999828808895,0.08042986086442948,0.008024583042665102,0.0065523395404374785,23.874534971990922
East Midlands,2021,9108329.05859368,E12000004,2,East Midlands,31954.06,19855.33,331800000.0,186100000.0,19227200000.0,200700000.0,4576200000.0,2073700000.0,26263800000.0,26263900000.0,0.7320771096447977,0.1742391647851233,0.07895628600474415,0.00764166784064819,0.007085771724686737,23.99146120964531
East Midlands,2022,9789763.326013723,E12000004,2,East Midlands,31199.76,19386.63,294300000.0,200200000.0,21415100000.0,204800000.0,4875300000.0,2065300000.0,28760700000.0,28760700000.0,0.7445959242994781,0.1695125640196518,0.0718097960063559,0.007120828074420998,0.006960887600093182,24.082275708863282
East Midlands,2023,9911625.93993289,E12000004,2,East Midlands,31304.04,19451.43,268600000.0,195300000.0,22058800000.0,197100000.0,4905200000.0,2016100000.0,29372600000.0,29372500000.0,0.7510017873861605,0.16699974465911993,0.06863903310920079,0.006710358328368372,0.006649076517150396,24.103324699406002
East Midlands,2024,10013957.407825785,E12000004,2,East Midlands,31461.4,19549.21,253600000.0,195800000.0,22441400000.0,197900000.0,4965700000.0,1996900000.0,29797700000.0,29797700000.0,0.753125241209892,0.16664709021166063,0.06701523943123126,0.006641452192618893,0.006570976954597167,24.117697046271093
East of England,2015,11752934.821488814,E12000006,7,East of England,39881.6,24781.28,492800000.0,292200000.0,27775100000.0,230800000.0,5596700000.0,2051300000.0,35946100000.0,35946100000.0,0.7726874403620977,0.15569700190006705,0.05706599603294933,0.006420724362309124,0.008128837342576802,24.305286431223088
East of England,2016,11972419.847461317,E12000006,7,East of England,40013.08,24862.98,506400000.0,284200000.0,28162600000.0,222100000.0,5830600000.0,2095200000.0,36594800000.0,36594700000.0,0.7695813874686771,0.1593290831732464,0.05725419254700817,0.0060691848819637816,0.007766151929104488,24.323169258124764
East of England,2017,12368743.21736146,E12000006,7,East of England,40051.59,24886.9,525300000.0,312800000.0,29051500000.0,213000000.0,6162100000.0,2144200000.0,37883600000.0,37883600000.0,0.7668621778289286,0.16265877582911867,0.05659968957543634,0.005622485719414205,0.008256871047102175,24.35778413770738
East of England,2018,12394691.81951066,E12000006,7,East of England,40003.13,24856.79,493500000.0,292600000.0,28935300000.0,207900000.0,6226400000.0,2184100000.0,37846200000.0,37846300000.0,0.764547657234657,0.16451806385300544,0.05770973648678999,0.005493271469073595,0.007731270956473949,24.356799057758344
East of England,2019,12418317.34960426,E12000006,7,East of England,40047.79,24884.54,528000000.0,285400000.0,29013700000.0,206800000.0,6289400000.0,2169400000.0,37964800000.0,37964700000.0,0.7642283489662766,0.1656644198426433,0.057142556111335,0.005447165393115183,0.0075175096866299486,24.359922617565374
East of England,2020,10269662.278814487,E12000006,7,East of England,40217.57,24990.04,708700000.0,223700000.0,22044800000.0,130200000.0,5873100000.0,2107600000.0,30379300000.0,30379400000.0,0.725649617833137,0.19332508212802096,0.06937595870886193,0.004285798929537779,0.007363542400442405,24.13703058408359
East of England,2021,11264298.467255965,E12000006,7,East of England,40294.29,25037.71,523100000.0,260100000.0,24596800000.0,155200000.0,6551200000.0,2164500000.0,33727900000.0,33727800000.0,0.7292737741566304,0.19423739467145798,0.06417554658175155,0.004601545312768695,0.007711739277391351,24.241588260056457
East of England,2022,12205120.860569054,E12000006,7,East of England,39580.27,24594.04,507600000.0,298700000.0,27473800000.0,164700000.0,6946100000.0,2188300000.0,37071600000.0,37071600000.0,0.7411010045425609,0.1873698464592842,0.059029014124019466,0.004442754021946719,0.008057380852188737,24.336117014763804
East of England,2023,12404340.875465408,E12000006,7,East of England,39712.8,24676.39,451500000.0,299400000.0,28290700000.0,162000000.0,6990700000.0,2158400000.0,37901200000.0,37901200000.0,0.7464328306227771,0.18444534737686405,0.05694806496891919,0.004274270999335113,0.007899486032104525,24.358248610802683
East of England,2024,12487233.548805011,E12000006,7,East of England,39882.5,24781.84,427000000.0,301600000.0,28721900000.0,163500000.0,6958200000.0,2136400000.0,38281600000.0,38281600000.0,0.7502795076485831,0.1817635626515088,0.05580748976009362,0.004270981359190839,0.007878458580623589,24.36823519994086
London,2015,6129532.475931022,E12000007,6,London,14796.15,9193.9,408500000.0,416400000.0,15407100000.0,343100000.0,2820200000.0,663400000.0,19650200000.0,19650200000.0,0.7840683555383661,0.14352016773366175,0.033760470631342174,0.01746038208262511,0.021190624014004948,23.701353353326933
London,2016,6230575.801181764,E12000007,6,London,14833.53,9217.13,506300000.0,473600000.0,15421400000.0,325400000.0,3224400000.0,638200000.0,20083000000.0,20083000000.0,0.7678832843698651,0.16055370213613504,0.03177812079868546,0.016202758552009162,0.023582134143305282,23.723139523000953
London,2017,6193620.322639616,E12000007,6,London,14842.02,9222.4,500500000.0,468800000.0,15397800000.0,314800000.0,3268100000.0,605900000.0,20055400000.0,20055400000.0,0.7677632956709913,0.16295361847681922,0.030211314658396243,0.0156965206378332,0.02337525055595999,23.72176428112036
London,2018,6168516.283300679,E12000007,6,London,14807.73,9201.1,518000000.0,463400000.0,15360300000.0,311400000.0,3259900000.0,597900000.0,19992900000.0,19992900000.0,0.7682877421484627,0.16305288377373967,0.029905616493855317,0.015575529312906082,0.023178228271036216,23.718643047472984
London,2019,6219432.294098527,E12000007,6,London,14814.85,9205.52,467800000.0,493200000.0,15628900000.0,280300000.0,3264400000.0,597500000.0,20264400000.0,20264300000.0,0.7712528930187571,0.1610911800555657,0.029485351085406356,0.01383220737948017,0.02433836846079065,23.732126554115748
London,2020,5185271.960232418,E12000007,6,London,14806.32,9200.22,697700000.0,463500000.0,12453500000.0,226100000.0,2877500000.0,593000000.0,16613600000.0,16613600000.0,0.7495967159435644,0.17320147349159726,0.03569364857706939,0.013609332113449222,0.027898829874319835,23.533487473993045
London,2021,5709703.797256296,E12000007,6,London,14808.32,9201.46,647200000.0,607600000.0,13983400000.0,239000000.0,2987800000.0,635500000.0,18453300000.0,18453300000.0,0.7577723225656116,0.16191141963768,0.034438284751236906,0.012951612990630402,0.03292636005484114,23.638509053227704
London,2022,5886962.064861963,E12000007,6,London,14812.69,9204.18,605800000.0,701600000.0,14459500000.0,247800000.0,3031900000.0,648600000.0,19089300000.0,19089400000.0,0.7574622565402789,0.15882636436975495,0.033976971512986266,0.012981026119207519,0.03675338145777238,23.672399044122034
London,2023,5888588.357398063,E12000007,6,London,14817.39,9207.1,627800000.0,742100000.0,14591000000.0,253000000.0,2989500000.0,621000000.0,19196700000.0,19196600000.0,0.7600825146119625,0.15573070231186772,0.03234947855349385,0.013179417188460456,0.038657887334215435,23.67799901696571
London,2024,5900241.812300356,E12000007,6,London,14824.72,9211.65,697800000.0,815300000.0,14726900000.0,258100000.0,3072300000.0,559900000.0,19432600000.0,19432500000.0,0.7578489643638235,0.15810111925897338,0.02881255628457481,0.013281873150649685,0.04195548694197864,23.69021275906865
North East,2015,3646307.8028131686,E12000001,11,North East,16266.41,10107.48,112800000.0,66200000.0,9273000000.0,136100000.0,1681300000.0,443700000.0,11600400000.0,11600300000.0,0.7993758782100463,0.14493590682999577,0.03824901080144479,0.011732455195124263,0.0057067489633888776,23.17429679679328
North East,2016,3696010.502324216,E12000001,11,North East,16285.23,10119.17,112000000.0,64100000.0,9337000000.0,129200000.0,1790400000.0,446600000.0,11767200000.0,11767300000.0,0.7934700398562117,0.15215045082559295,0.037952631444766426,0.010979579002829877,0.005447298870599033,23.18859033513168
North East,2017,3780523.7273069546,E12000001,11,North East,16334.04,10149.5,114200000.0,73800000.0,9458400000.0,154200000.0,1847500000.0,456400000.0,11990300000.0,11990300000.0,0.788837643762041,0.15408288366429532,0.038064101815634306,0.012860395486351468,0.00615497527167794,23.207363826523526
North East,2018,3848691.771298152,E12000001,11,North East,16365.08,10168.79,105200000.0,73800000.0,9646900000.0,151100000.0,1902100000.0,458600000.0,12232400000.0,12232500000.0,0.7886286531780095,0.15549560596770898,0.037490292254240755,0.012352340077661965,0.006033108522378909,23.227362181127553
North East,2019,3966914.266823452,E12000001,11,North East,16401.99,10191.72,103800000.0,67300000.0,10100800000.0,153100000.0,1933100000.0,445200000.0,12699500000.0,12699500000.0,0.7953698964526162,0.15221859128312137,0.03505649828733415,0.012055592739871649,0.005299421237056577,23.264828459557194
North East,2020,3206675.2927747234,E12000001,11,North East,16437.39,10213.72,158200000.0,50300000.0,7676500000.0,128500000.0,1811600000.0,402800000.0,10069800000.0,10069700000.0,0.762336514493977,0.17990605479805755,0.04000119169389356,0.012761055443558399,0.00499518357051352,23.032796751773326
North East,2021,3553475.277448531,E12000001,11,North East,16460.74,10228.23,111000000.0,62400000.0,8601300000.0,119600000.0,1985400000.0,446600000.0,11215300000.0,11215300000.0,0.7669255392187458,0.17702602694533362,0.03982060221304825,0.01066400363788753,0.005563827984984797,23.140544754449355
North East,2022,3844534.790656506,E12000001,11,North East,16360.18,10165.74,117500000.0,66200000.0,9556400000.0,128900000.0,2086800000.0,440200000.0,12278500000.0,12278500000.0,0.778303538705868,0.16995561347070082,0.03585128476605449,0.010498025003054119,0.005391538054322596,23.231115602367375
North East,2023,3937862.427611344,E12000001,11,North East,16403.7,10192.79,105700000.0,64200000.0,9933300000.0,122100000.0,2118900000.0,428900000.0,12667400000.0,12667400000.0,0.7841624958555031,0.16727189478503876,0.033858566083016246,0.009638915641726005,0.005068127634715885,23.262297601065693
North East,2024,4035329.6954916455,E12000001,11,North East,16484.55,10243.02,100600000.0,66100000.0,10235200000.0,125000000.0,2169800000.0,426200000.0,13022300000.0,13022300000.0,0.7859748277953972,0.1666218717123703,0.03272847346474893,0.00959891877778887,0.005075908249694754,23.28992910943151
North West,2015,11389533.497012217,E12000002,5,North West,37031.76,23010.47,317600000.0,220700000.0,27638100000.0,287400000.0,4997700000.0,1895400000.0,35039400000.0,35039300000.0,0.788774319121672,0.142631274026593,0.05409354638933997,0.008202218651628315,0.006298641810766768,24.279736125646107
North West,2016,11452735.61664624,E12000002,5,North West,37113.04,23060.97,285300000.0,214800000.0,27725100000.0,271200000.0,5139200000.0,1903100000.0,35253400000.0,35253400000.0,0.7864518032303267,0.1457788468629976,0.05398344556837071,0.0076928750134738775,0.00609302932483108,24.28582781545402
North West,2017,11465134.568782205,E12000002,5,North West,37147.11,23082.14,293300000.0,221800000.0,27873300000.0,208200000.0,5178900000.0,1914400000.0,35396500000.0,35396600000.0,0.7874569873942695,0.146310662606013,0.05408429058158128,0.005881920862455716,0.006266138555680489,24.289881607275763
North West,2018,11575182.5962023,E12000002,5,North West,37213.98,23123.7,319300000.0,209300000.0,28260800000.0,198500000.0,5264400000.0,1903500000.0,35836500000.0,35836500000.0,0.788603797803915,0.14690050646687036,0.05311623623958813,0.0055390453866867575,0.0058404141029397404,24.302232764034457
North West,2019,11778798.29798848,E12000002,5,North West,37287.65,23169.47,335700000.0,196500000.0,28876400000.0,199000000.0,5414200000.0,1895100000.0,36581200000.0,36581200000.0,0.7893781505254065,0.1480049861677583,0.05180529889670104,0.0054399527626212375,0.0053716116475129305,24.32280028418244
North West,2020,9671155.076870488,E12000002,5,North West,37350.8,23208.71,437800000.0,154000000.0,21937900000.0,129300000.0,5066400000.0,1835100000.0,29122800000.0,29122700000.0,0.75329210547099,0.17396738626569652,0.0630127014322161,0.004439835592166935,0.005287971238930456,24.094783775756902
North West,2021,10698825.32097553,E12000002,5,North West,37404.06,23241.81,381000000.0,169600000.0,24620000000.0,140700000.0,5627800000.0,1938500000.0,32496600000.0,32496600000.0,0.7576177200076316,0.173181194340331,0.059652394404337686,0.00432968372075848,0.00521900752694128,24.204401305424916
North West,2022,11397489.852763403,E12000002,5,North West,36819.54,22878.6,364100000.0,186100000.0,26912000000.0,156700000.0,5970400000.0,1897600000.0,35122700000.0,35122800000.0,0.7662259273178676,0.16998644754973977,0.05402758322229435,0.0044614894028949855,0.005298552507203298,24.282116329186806
North West,2023,11565621.470825836,E12000002,5,North West,36920.3,22941.21,325500000.0,177600000.0,27723700000.0,154500000.0,6021400000.0,1839300000.0,35916400000.0,35916500000.0,0.7718931410354573,0.1676499658931132,0.05121044645218771,0.004301644091155876,0.004944802528085978,24.304462636880164
North West,2024,11792812.260646503,E12000002,5,North West,37067.93,23032.94,309600000.0,179600000.0,28589100000.0,159800000.0,6030600000.0,1827300000.0,36786400000.0,36786400000.0,0.7771649305178,0.16393558489006807,0.04967324880934258,0.0043439966944305505,0.004882239088358741,24.32839404859785
Scotland,2015,9236651.189139012,S92000003,3,Scotland,59345.13,36875.35,205700000.0,176900000.0,21496900000.0,364500000.0,4390400000.0,1560000000.0,27988600000.0,27988700000.0,0.7680563941876543,0.15686330554831057,0.05573677948600685,0.013023112899134293,0.006320407878893982,24.055066694236178
Scotland,2016,9513279.950439472,S92000003,3,Scotland,59365.02,36887.71,180400000.0,165500000.0,22051300000.0,319500000.0,4797900000.0,1592100000.0,28926200000.0,28926300000.0,0.7623270172818508,0.16586635691395027,0.05503987720517315,0.01104531170595617,0.0057214368930696285,24.088017052836435
Scotland,2017,9761499.063611716,S92000003,3,Scotland,59285.4,36838.24,182500000.0,173900000.0,22416500000.0,326000000.0,5130700000.0,1624300000.0,29671400000.0,29671400000.0,0.7554918204061823,0.1729173547591283,0.05474295112465202,0.010987011061156534,0.0058608626488807405,24.1134494558454
Scotland,2018,9757555.527005935,S92000003,3,Scotland,59300.67,36847.73,193200000.0,175500000.0,22554900000.0,289800000.0,5106700000.0,1621800000.0,29748600000.0,29748700000.0,0.7581810297592836,0.17166128267789854,0.05451666795523838,0.009741602154043707,0.005899417453535785,24.116051270504297
Scotland,2019,9843257.243342482,S92000003,3,Scotland,59353.24,36880.39,227000000.0,181100000.0,22790300000.0,319500000.0,5143100000.0,1607600000.0,30041600000.0,30041600000.0,0.758624707072859,0.17119927034512142,0.05351246271836387,0.010635252449936088,0.006028307413719642,24.12584892474087
Scotland,2020,7755229.138670783,S92000003,3,Scotland,59273.91,36831.1,370700000.0,136200000.0,16797100000.0,234600000.0,4596700000.0,1403900000.0,23168500000.0,23168500000.0,0.7249973023717547,0.1984030040788139,0.060595204696031246,0.01012581738135831,0.005878671472041781,23.86605943440855
Scotland,2021,8889821.478773545,S92000003,3,Scotland,59262.26,36823.86,270300000.0,151200000.0,19301900000.0,263600000.0,5433600000.0,1553200000.0,26703400000.0,26703500000.0,0.722822850937143,0.2034789447076226,0.058164660063287583,0.009871365176849476,0.005662179115097272,24.0080604799039
Scotland,2022,9593559.499834638,S92000003,3,Scotland,59408.67,36914.84,262300000.0,168900000.0,21359700000.0,293700000.0,5798900000.0,1556800000.0,29177900000.0,29178000000.0,0.7320481184454041,0.1987422030296799,0.05335526766742066,0.010065803002261979,0.005788607855233395,24.096680837596114
Scotland,2023,9731314.36292556,S92000003,3,Scotland,59530.49,36990.53,250300000.0,169400000.0,21979300000.0,281800000.0,5896100000.0,1510600000.0,29837200000.0,29837200000.0,0.7366408376121084,0.1976090249755339,0.05062807502044428,0.00944458595310552,0.005677476438807931,24.119021774099146
Scotland,2024,9895865.909320086,S92000003,3,Scotland,59686.95,37087.75,237800000.0,171300000.0,22438600000.0,283600000.0,5992300000.0,1518000000.0,30403800000.0,30403800000.0,0.7380195896565561,0.19709049526703898,0.04992796953012452,0.009327781395746585,0.005634164150533815,24.13783343754674
South East,2015,16886038.09445095,E12000008,9,South East,47896.88,29761.74,568700000.0,454300000.0,42370500000.0,303500000.0,7775400000.0,2435800000.0,53339600000.0,53339500000.0,0.7943550276999222,0.1457718951246262,0.04566596987223352,0.0056899670975543454,0.00851714020566372,24.699942981828073
South East,2016,17159601.08871284,E12000008,9,South East,48069.47,29868.98,563100000.0,468600000.0,42887200000.0,290200000.0,8195800000.0,2442400000.0,54284200000.0,54284200000.0,0.7900494066413432,0.1509794746906098,0.04499283401063293,0.005345938597234554,0.008632346060179574,24.71749904548562
South East,2017,17263340.909578126,E12000008,9,South East,48179.08,29937.09,596400000.0,448300000.0,43150300000.0,275900000.0,8278700000.0,2461800000.0,54615000000.0,54615000000.0,0.7900814794470383,0.151582898471116,0.045075528700906344,0.005051725716378285,0.008208367664561018,24.723574407241916
South East,2018,17239185.34335553,E12000008,9,South East,48243.35,29977.03,606800000.0,440000000.0,42884900000.0,269400000.0,8427000000.0,2466900000.0,54488100000.0,54488200000.0,0.7870493060882907,0.15465733865313958,0.045274022632423166,0.004944189751175484,0.008075142874971094,24.721250001411654
South East,2019,17334210.91443965,E12000008,9,South East,48384.89,30064.98,623000000.0,447000000.0,43210500000.0,270000000.0,8513800000.0,2446500000.0,54887700000.0,54887800000.0,0.7872514474983512,0.15511279373558423,0.04457274658485128,0.004919125925979908,0.008143886255233403,24.728556938544656
South East,2020,13759270.212092668,E12000008,9,South East,48547.77,30166.19,950600000.0,348500000.0,31854700000.0,162900000.0,7768700000.0,2283900000.0,42418700000.0,42418700000.0,0.750958893129681,0.18314328350468073,0.05384181976345338,0.003840287420406566,0.00821571618177832,24.470855139691615
South East,2021,15147037.681634543,E12000008,9,South East,48679.55,30248.07,725400000.0,377300000.0,35284900000.0,184100000.0,8622100000.0,2436800000.0,46905200000.0,46905200000.0,0.7522598773696733,0.18381970442509574,0.051951595985093336,0.003924937959970323,0.008043884260167316,24.571394380452983
South East,2022,16464530.785516797,E12000008,9,South East,48219.05,29961.93,655500000.0,421000000.0,39319900000.0,198800000.0,9227100000.0,2453300000.0,51620200000.0,51620100000.0,0.7617168506066435,0.17875013802762876,0.04752606058492719,0.003851212996487802,0.0081557377843127,24.667176968468635
South East,2023,16738479.888520122,E12000008,9,South East,48374.07,30058.25,603200000.0,428700000.0,40593600000.0,198700000.0,9206100000.0,2396000000.0,52823100000.0,52823100000.0,0.7684819709558887,0.17428170629894876,0.04535894334107616,0.003761611870564204,0.008115767533522266,24.690214431983406
South East,2024,16892985.44137194,E12000008,9,South East,48563.89,30176.2,571400000.0,437800000.0,41333100000.0,204100000.0,9305800000.0,2320200000.0,53600900000.0,53601000000.0,0.7711255387026361,0.17361243260386933,0.04328650584877148,0.0038077647805078263,0.00816775806421522,24.70483356156555
South West,2015,10455971.629856322,E12000009,1,South West,50093.85,31126.88,313900000.0,366300000.0,26091900000.0,251300000.0,5075200000.0,1405300000.0,33190000000.0,33190000000.0,0.7861373907803555,0.15291352817113588,0.04234106658632118,0.007571557698101838,0.011036456764085567,24.225514462678294
South West,2016,10779761.238797016,E12000009,1,South West,50271.54,31237.29,309300000.0,374100000.0,26877800000.0,236000000.0,5440500000.0,1410500000.0,34338900000.0,34338900000.0,0.7827216363948758,0.15843547696635593,0.04107586439868487,0.006872672100737065,0.010894350139346339,24.25954465928766
South West,2017,11067543.373817936,E12000009,1,South West,50356.39,31290.01,333100000.0,339300000.0,27670000000.0,228600000.0,5633700000.0,1431900000.0,35303500000.0,35303500000.0,0.783774979817865,0.1595790785616157,0.04055971787499823,0.006475278655090855,0.009610945090430128,24.287247946112256
South West,2018,11059995.78745953,E12000009,1,South West,50315.5,31264.6,357800000.0,320200000.0,27672500000.0,220800000.0,5627100000.0,1434900000.0,35275400000.0,35275500000.0,0.7844679735226999,0.15951864608581026,0.040676957094867544,0.006259301781689841,0.00907712151493246,24.28645450892927
South West,2019,11287117.714627435,E12000009,1,South West,50373.75,31300.8,363700000.0,321500000.0,28297800000.0,220200000.0,5737600000.0,1456500000.0,36033500000.0,36033600000.0,0.7853170374317304,0.15922916389147906,0.04042060743306247,0.006110963101105635,0.00892222814262244,24.307717673451123
South West,2020,8909371.64577787,E12000009,1,South West,50507.88,31384.14,482200000.0,246900000.0,20960700000.0,143800000.0,5157800000.0,1325500000.0,27834700000.0,27834700000.0,0.7530420661979471,0.18530108102476406,0.04762041624303477,0.005166213395509921,0.008870223138744086,24.049549280726065
South West,2021,10069052.94007108,E12000009,1,South West,50566.34,31420.47,385400000.0,286400000.0,23913500000.0,164100000.0,5794500000.0,1450800000.0,31609400000.0,31609300000.0,0.7565336783794643,0.18331630248059907,0.04589788448336407,0.005191510093548418,0.009060624563024174,24.17671721803788
South West,2022,10665362.3160906,E12000009,1,South West,49827.36,30961.29,344600000.0,317600000.0,25812400000.0,169800000.0,6156900000.0,1413100000.0,33869900000.0,33869800000.0,0.7621066554865987,0.18178140998765863,0.04172153363763589,0.00501331569716975,0.009377085190937058,24.24578959882804
South West,2023,10865706.504250418,E12000009,1,South West,49935.72,31028.62,317000000.0,319000000.0,26570500000.0,167300000.0,6239600000.0,1387100000.0,34683400000.0,34683500000.0,0.7660847376994825,0.17990110571309123,0.03999308028313175,0.0048236193002436315,0.009197457004050917,24.269529906488426
South West,2024,10942610.815403324,E12000009,1,South West,50059.59,31105.59,300000000.0,324300000.0,26973900000.0,170300000.0,6334700000.0,1326700000.0,35129900000.0,35129900000.0,0.7678330994395088,0.18032217569648648,0.037765550143894516,0.004847722310624283,0.009231452409485936,24.282318456650213
Wales,2015,5586931.142089808,W92000004,4,Wales,33881.01,21052.68,119400000.0,138300000.0,14109300000.0,149700000.0,2774300000.0,686200000.0,17857900000.0,17857800000.0,0.7900917246245338,0.15535508293294806,0.03842578593107774,0.008382891509592446,0.007744515001847932,23.605706224516297
Wales,2016,5781263.031355843,W92000004,4,Wales,33925.89,21080.57,115500000.0,136700000.0,14631800000.0,129600000.0,2975600000.0,691500000.0,18565300000.0,18565200000.0,0.788130480684291,0.16027837028418762,0.03724710749143559,0.006980802792321117,0.007363238747764635,23.644554697477297
Wales,2017,5815019.055777717,W92000004,4,Wales,33859.42,21039.27,111500000.0,141800000.0,14591200000.0,124300000.0,3083300000.0,703800000.0,18644400000.0,18644400000.0,0.7826049644933599,0.16537405333504968,0.03774860011585248,0.00666688120829847,0.007605500847439445,23.64881166985023
Wales,2018,5891743.576092676,W92000004,4,Wales,33828.94,21020.33,116300000.0,163700000.0,14761100000.0,122000000.0,3179300000.0,702600000.0,18928600000.0,18928700000.0,0.7798264011791618,0.16796187799479098,0.03711823844215398,0.0064452392398844085,0.008648243144008833,23.663945125747137
Wales,2019,5932100.242705058,W92000004,4,Wales,33838.07,21026.0,128400000.0,133400000.0,14937300000.0,115100000.0,3194400000.0,701000000.0,19081200000.0,19081200000.0,0.7828281240173574,0.16741085466322872,0.0367377313795778,0.006032115380584031,0.006991174559252039,23.671969394070626
Wales,2020,4625035.081428257,W92000004,4,Wales,33851.07,21034.08,210000000.0,111300000.0,10966800000.0,74300000.0,2782800000.0,637900000.0,14573100000.0,14573100000.0,0.7525372089672067,0.19095456697614097,0.043772430025183384,0.005098434787382231,0.007637359244086708,23.402443200479507
Wales,2021,5218132.860366856,W92000004,4,Wales,33830.95,21021.58,176800000.0,123500000.0,12383000000.0,91900000.0,3192200000.0,695500000.0,16486000000.0,16486100000.0,0.75111760816688,0.1936297850916833,0.042187054548983687,0.005574392973474624,0.0074911592189784125,23.52578343857181
