region_name,model,MAE,RMSE,MAPE(%)
East of England,Naive,240666.35156615544,244209.11448901918,1.9326298322310884
East of England,Holt,705742.8089648345,706954.460940673,5.6694915712153415
East of England,LinearTrend,1010782.7908657929,1014024.9591641026,8.11940748043517
North West,Naive,281727.01297276653,303766.39640255144,2.402975340949201
North West,Holt,848385.645446104,860332.1116875295,7.252850515742212
North West,LinearTrend,1029906.426738454,1043282.2415669214,8.805248282711
South East,Naive,351201.8794292342,359598.04168006516,2.0864650156117954
South East,Holt,1252625.857869532,1261013.5426062017,7.445320626367541
South East,LinearTrend,1803756.6623723023,1816729.4276370506,10.720907124531493
South West,Naive,238796.34373627044,241872.40861720202,2.188740299101302
South West,Holt,670004.4132759087,672825.1298254967,6.142571232078481
South West,LinearTrend,863529.4329993092,868008.5136000079,7.916517350372657
West Midlands,Naive,241571.98694347776,254936.83865095364,2.248407023702446
West Midlands,Holt,760662.2149673076,767317.5147102103,7.090827570579422
West Midlands,LinearTrend,1057599.3659742754,1066731.3699271814,9.85891576347229
