region_name,year,yhat,yhat_lower,yhat_upper,changepoint_prior_scale
South East,2025,17128685.438262835,16571981.850588175,17631521.853912868,0.3
South East,2026,17343544.57128181,15580765.111044858,18878016.97227137,0.3
South East,2027,17558403.704300784,14223769.359087158,20457334.87614843,0.3
South East,2028,17773262.837319754,12714745.236558376,22423990.98747803,0.3
South East,2029,17988710.625497684,10777847.581852844,24601705.91854782,0.3
South East,2030,18203569.75851666,8554098.75113045,27465340.84656756,0.3
East of England,2025,12649344.088006211,12308054.168374859,12975771.51742294,0.3
East of England,2026,12791222.782910615,11710446.5302458,13920516.296183689,0.3
East of England,2027,12933101.477815019,10847208.63132648,15251795.215384789,0.3
East of England,2028,13074980.172719423,9894837.279939558,16587728.542028015,0.3
East of England,2029,13217247.576376988,8861062.509422483,18046376.721295156,0.3
East of England,2030,13359126.271281393,7713888.948941785,19735537.390911106,0.3
North West,2025,11981516.471281707,11713723.554455848,12249663.605842153,0.3
North West,2026,12179398.688243192,11312054.563553916,12978329.258608723,0.3
North West,2027,12377280.905204678,10740969.096964832,13942816.364640143,0.3
North West,2028,12575163.122166164,10071212.846564487,15191992.52412241,0.3
North West,2029,12773587.482187817,9433810.872233223,16608534.96663946,0.3
North West,2030,12971469.6991493,8607251.241602907,18059918.369020753,0.3
South West,2025,11103782.003553523,10798485.68744787,11389648.926526016,0.3
South West,2026,11243429.544380184,10299098.25300631,12184429.154050957,0.3
South West,2027,11383077.085206848,9481602.660347024,13242323.726668276,0.3
South West,2028,11522724.626033513,8516170.759720322,14519025.62384807,0.3
South West,2029,11662754.76286244,7354759.321154677,15782659.955315663,0.3
South West,2030,11802402.303689105,6178141.771541568,17291425.12411915,0.3
West Midlands,2025,10960172.285501298,10691887.68148353,11247376.703246865,0.3
West Midlands,2026,11121688.992342757,10215192.610614974,12053366.988363724,0.3
West Midlands,2027,11283205.699184215,9533178.75827531,12950982.932493145,0.3
West Midlands,2028,11444722.40602567,8716951.769466069,13948435.2921041,0.3
West Midlands,2029,11606681.624392722,7692113.120096126,14986480.311134797,0.3
West Midlands,2030,11768198.331234178,6471507.035458052,16437142.223950855,0.3
