region_name,model,MAE,RMSE,MAPE(%)
East of England,Naive,240666.35156615544,244209.11448901918,1.9326298322310884
East of England,Prophet,853646.0581957735,860671.1616133169,6.856055386576646
North West,Naive,281727.01297276653,303766.39640255144,2.402975340949201
North West,Prophet,845649.1380551411,867665.0935592814,7.225141594916526
South East,Naive,351201.8794292342,359598.04168006516,2.0864650156117954
South East,Prophet,1469459.1398514267,1490254.3044380227,8.732003673675864
South West,Naive,238796.34373627044,241872.40861720202,2.188740299101302
South West,Prophet,655668.1041823644,705227.6898878675,6.004685533250091
West Midlands,Naive,241571.98694347776,254936.83865095364,2.248407023702446
West Midlands,Prophet,811729.3053670265,826154.5248877913,7.563601036798751
