year,total_co2e,hgv_co2e,co2e_scn_hgv_10,abs_red_10,pct_red_10,co2e_scn_hgv_20,abs_red_20,pct_red_20,co2e_scn_hgv_30,abs_red_30,pct_red_30
2015,103768985.56795481,18250637.977178626,101943921.77023694,1825063.7977178693,1.7587757919467146,100118857.97251907,3650127.5954357386,3.5175515838934293,98293794.17480122,5475191.393153593,5.276327375840131
2016,106025215.18523037,18423649.402859285,104182850.24494445,1842364.940285921,1.7376667777256896,102340485.30465853,3684729.880571842,3.475333555451379,100498120.3643726,5527094.820857778,5.2130003331770824
2017,107450677.19084951,18640185.71550363,105586658.61929914,1864018.5715503693,1.7347667043917978,103722640.04774877,3728037.1431007385,3.4695334087835956,101858621.47619842,5592055.714651093,5.20430011317538
2018,107935911.31344314,18703514.426035795,106065559.87083957,1870351.4426035732,1.732835179546611,104195208.42823598,3740702.8852071613,3.465670359093236,102324856.9856324,5611054.3278107345,5.198505538639846
2019,109137670.1995344,18729194.10934437,107264750.78859995,1872919.4109344482,1.7161071951693894,105391831.37766552,3745838.8218688816,3.432214390338765,103518911.96673109,5618758.232803315,5.148321585508141
2020,88143069.83264396,17631061.211250532,86379963.71151891,1763106.1211250424,2.0002776445982966,84616857.59039386,3526212.2422501,4.000555289196611,82853751.4692688,5289318.363375157,6.000832933794924
2021,98087797.71101886,19026795.523958582,96185118.158623,1902679.5523958653,1.939771915362439,94282438.60622714,3805359.1047917157,3.879543830724863,92379759.05383128,5708038.657187581,5.819315746087303
2022,105241387.38240108,18912433.883461494,103350143.99405493,1891243.3883461505,1.7970528851678864,101458900.60570878,3782486.776692301,3.594105770335773,99567657.21736263,5673730.165038452,5.391158655503659
2023,106790783.68662536,18437468.554470256,104947036.83117834,1843746.855447024,1.7265037223225639,103103289.97573131,3687493.710894048,3.4530074446451278,101259543.12028429,5531240.566341072,5.179511166967692
2024,108012557.3109414,18076320.804889057,106204925.23045251,1807632.0804888904,1.6735388231621675,104397293.14996359,3615264.1609778106,3.3470776463243626,102589661.06947468,5422896.241466716,5.020616469486543
